레벨,굴러숭이,불꽃숭이,진불꽃숭이,통나무숭이,바위숭이,폭탄숭이,소환숭이,주술사숭이,제사장숭이,숭오공,도사숭이,제천대숭,골렘숭이,골렘숭이mk.2,자이언트숭,양손,바구니,노가다,수레,유모차,마차,자전거,툭툭이,오토바이,카피바라,타조,코끼리,열기구,비행기,UFO
15,67 ,1582 ,857811903 ,17483 ,859851952 ,1317088130 ,1052326457 ,6303135762 ,6404888700838 ,2126631884 ,168097495931 ,11612948817335 ,5080042993423 ,6603987276285 ,30645355083091 ,67 ,1582 ,857811903 ,17483 ,859851952 ,1317088130 ,1052326457 ,6303135762 ,6404888700838 ,2126631884 ,168097495931 ,11612948817335 ,5080042993423 ,6603987276285 ,30645355083091 
16,69 ,1645 ,892124380 ,18183 ,894246030 ,1369771655 ,1094419515 ,6555261192 ,6661084248871 ,2211697159 ,174821395768 ,12077466770029 ,5283244713160 ,6868146767337 ,31871169286415 ,69 ,1645 ,892124380 ,18183 ,894246030 ,1369771655 ,1094419515 ,6555261192 ,6661084248871 ,2211697159 ,174821395768 ,12077466770029 ,5283244713160 ,6868146767337 ,31871169286415 
17,72 ,1711 ,927809355 ,18910 ,930015871 ,1424562521 ,1138196295 ,6817471640 ,6927527618826 ,2300165045 ,181814251598 ,12560565440830 ,5494574501687 ,7142872638030 ,33146016057871 ,72 ,1711 ,927809355 ,18910 ,930015871 ,1424562521 ,1138196295 ,6817471640 ,6927527618826 ,2300165045 ,181814251598 ,12560565440830 ,5494574501687 ,7142872638030 ,33146016057871 
18,75 ,1779 ,964921729 ,19666 ,967216506 ,1481545022 ,1183724147 ,7090170506 ,7204628723579 ,2392171647 ,189086821662 ,13062988058463 ,5714357481754 ,7428587543551 ,34471856700186 ,75 ,1779 ,964921729 ,19666 ,967216506 ,1481545022 ,1183724147 ,7090170506 ,7204628723579 ,2392171647 ,189086821662 ,13062988058463 ,5714357481754 ,7428587543551 ,34471856700186 
19,78 ,1851 ,1003518598 ,20453 ,1005905166 ,1540806823 ,1231073113 ,7373777326 ,7492813872522 ,2487858513 ,196650294529 ,13585507580802 ,5942931781024 ,7725731045293 ,35850730968193 ,78 ,1851 ,1003518598 ,20453 ,1005905166 ,1540806823 ,1231073113 ,7373777326 ,7492813872522 ,2487858513 ,196650294529 ,13585507580802 ,5942931781024 ,7725731045293 ,35850730968193 
20,81 ,1925 ,1043659342 ,21271 ,1046141372 ,1602439096 ,1280316038 ,7668728419 ,7792526427423 ,2587372853 ,204516306310 ,14128927884034 ,6180649052265 ,8034760287105 ,37284760206921 ,81 ,1925 ,1043659342 ,21271 ,1046141372 ,1602439096 ,1280316038 ,7668728419 ,7792526427423 ,2587372853 ,204516306310 ,14128927884034 ,6180649052265 ,8034760287105 ,37284760206921 
21,84 ,2002 ,1085405716 ,22122 ,1087987027 ,1666536660 ,1331528679 ,7975477556 ,8104227484520 ,2690867768 ,212696958562 ,14694084999395 ,6427875014356 ,8356150698589 ,38776150615198 ,84 ,2002 ,1085405716 ,22122 ,1087987027 ,1666536660 ,1331528679 ,7975477556 ,8104227484520 ,2690867768 ,212696958562 ,14694084999395 ,6427875014356 ,8356150698589 ,38776150615198 
22,88 ,2082 ,1128821944 ,23007 ,1131506508 ,1733198126 ,1384789826 ,8294496658 ,8428396583901 ,2798502478 ,221204836905 ,15281848399371 ,6684990014930 ,8690396726533 ,40327196639806 ,88 ,2082 ,1128821944 ,23007 ,1131506508 ,1733198126 ,1384789826 ,8294496658 ,8428396583901 ,2798502478 ,221204836905 ,15281848399371 ,6684990014930 ,8690396726533 ,40327196639806 
23,91 ,2165 ,1173974822 ,23927 ,1176766769 ,1802526051 ,1440181419 ,8626276524 ,8765532447257 ,2910442577 ,230053030381 ,15893122335346 ,6952389615527 ,9038012595594 ,41940284505398 ,91 ,2165 ,1173974822 ,23927 ,1176766769 ,1802526051 ,1440181419 ,8626276524 ,8765532447257 ,2910442577 ,230053030381 ,15893122335346 ,6952389615527 ,9038012595594 ,41940284505398 
24,95 ,2251 ,1220933815 ,24884 ,1223837440 ,1874627093 ,1497788676 ,8971327585 ,9116153745147 ,3026860281 ,239255151596 ,16528847228760 ,7230485200148 ,9399533099418 ,43617895885614 ,95 ,2251 ,1220933815 ,24884 ,1223837440 ,1874627093 ,1497788676 ,8971327585 ,9116153745147 ,3026860281 ,239255151596 ,16528847228760 ,7230485200148 ,9399533099418 ,43617895885614 
25,99 ,2341 ,1269771168 ,25880 ,1272790937 ,1949612177 ,1557700223 ,9330180689 ,9480799894953 ,3147934692 ,248825357660 ,17190001117910 ,7519704608154 ,9775514423395 ,45362611721039 ,99 ,2341 ,1269771168 ,25880 ,1272790937 ,1949612177 ,1557700223 ,9330180689 ,9480799894953 ,3147934692 ,248825357660 ,17190001117910 ,7519704608154 ,9775514423395 ,45362611721039 
26,103 ,2435 ,1320562014 ,26915 ,1323702575 ,2027596664 ,1620008232 ,9703387916 ,9860031890751 ,3273852079 ,258778371967 ,17877601162626 ,7820492792480 ,10166535000330 ,47177116189880 ,103 ,2435 ,1320562014 ,26915 ,1323702575 ,2027596664 ,1620008232 ,9703387916 ,9860031890751 ,3273852079 ,258778371967 ,17877601162626 ,7820492792480 ,10166535000330 ,47177116189880 
27,107 ,2533 ,1373384495 ,27991 ,1376650678 ,2108700531 ,1684808562 ,10091523433 ,10254433166381 ,3404806163 ,269129506845 ,18592705209131 ,8133312504180 ,10573196400344 ,49064200837475 ,107 ,2533 ,1373384495 ,27991 ,1376650678 ,2108700531 ,1684808562 ,10091523433 ,10254433166381 ,3404806163 ,269129506845 ,18592705209131 ,8133312504180 ,10573196400344 ,49064200837475 
28,111 ,2634 ,1428319875 ,29111 ,1431716705 ,2193048552 ,1752200904 ,10495184370 ,10664610493037 ,3540998409 ,279894687119 ,19336413417497 ,8458645004347 ,10996124256357 ,51026768870974 ,111 ,2634 ,1428319875 ,29111 ,1431716705 ,2193048552 ,1752200904 ,10495184370 ,10664610493037 ,3540998409 ,279894687119 ,19336413417497 ,8458645004347 ,10996124256357 ,51026768870974 
29,115 ,2739 ,1485452670 ,30275 ,1488985373 ,2280770494 ,1822288940 ,10914991745 ,11091194912758 ,3682638345 ,291090474604 ,20109869954197 ,8796990804521 ,11435969226612 ,53067839625813 ,115 ,2739 ,1485452670 ,30275 ,1488985373 ,2280770494 ,1822288940 ,10914991745 ,11091194912758 ,3682638345 ,291090474604 ,20109869954197 ,8796990804521 ,11435969226612 ,53067839625813 
30,120 ,2849 ,1544870776 ,31486 ,1548544788 ,2372001314 ,1895180498 ,11351591415 ,11534842709269 ,3829943879 ,302734093588 ,20914264752364 ,9148870436701 ,11893407995676 ,55190553210846 ,120 ,2849 ,1544870776 ,31486 ,1548544788 ,2372001314 ,1895180498 ,11351591415 ,11534842709269 ,3829943879 ,302734093588 ,20914264752364 ,9148870436701 ,11893407995676 ,55190553210846 
31,125 ,2963 ,1606665608 ,32746 ,1610486579 ,2466881366 ,1970987718 ,11805655071 ,11996236417639 ,3983141634 ,314843457332 ,21750835342459 ,9514825254169 ,12369144315503 ,57398175339280 ,125 ,2963 ,1606665608 ,32746 ,1610486579 ,2466881366 ,1970987718 ,11805655071 ,11996236417639 ,3983141634 ,314843457332 ,21750835342459 ,9514825254169 ,12369144315503 ,57398175339280 
32,130 ,3081 ,1670932232 ,34056 ,1674906042 ,2565556621 ,2049827226 ,12277881274 ,12476085874345 ,4142467300 ,327437195625 ,22620868756157 ,9895418264336 ,12863910088123 ,59694102352851 ,130 ,3081 ,1670932232 ,34056 ,1674906042 ,2565556621 ,2049827226 ,12277881274 ,12476085874345 ,4142467300 ,327437195625 ,22620868756157 ,9895418264336 ,12863910088123 ,59694102352851 
33,135 ,3204 ,1737769521 ,35418 ,1741902284 ,2668178886 ,2131820315 ,12768996525 ,12975129309319 ,4308165992 ,340534683450 ,23525703506404 ,10291234994910 ,13378466491648 ,62081866446965 ,135 ,3204 ,1737769521 ,35418 ,1741902284 ,2668178886 ,2131820315 ,12768996525 ,12975129309319 ,4308165992 ,340534683450 ,23525703506404 ,10291234994910 ,13378466491648 ,62081866446965 
34,140 ,3333 ,1807280302 ,36835 ,1811578376 ,2774906041 ,2217093128 ,13279756386 ,13494134481691 ,4480492631 ,354156070788 ,24466731646660 ,10702884394706 ,13913605151314 ,64565141104844 ,140 ,3333 ,1807280302 ,36835 ,1811578376 ,2774906041 ,2217093128 ,13279756386 ,13494134481691 ,4480492631 ,354156070788 ,24466731646660 ,10702884394706 ,13913605151314 ,64565141104844 
35,146 ,3466 ,1879571514 ,38308 ,1884041511 ,2885902283 ,2305776853 ,13810946642 ,14033899860959 ,4659712337 ,368322313619 ,25445400912526 ,11130999770494 ,14470149357367 ,67147746749037 ,146 ,3466 ,1879571514 ,38308 ,1884041511 ,2885902283 ,2305776853 ,13810946642 ,14033899860959 ,4659712337 ,368322313619 ,25445400912526 ,11130999770494 ,14470149357367 ,67147746749037 
36,152 ,3605 ,1954754375 ,39840 ,1959403171 ,3001338374 ,2398007927 ,14363384507 ,14595255855397 ,4846100830 ,383055206164 ,26463216949027 ,11576239761314 ,15048955331661 ,69833656618999 ,152 ,3605 ,1954754375 ,39840 ,1959403171 ,3001338374 ,2398007927 ,14363384507 ,14595255855397 ,4846100830 ,383055206164 ,26463216949027 ,11576239761314 ,15048955331661 ,69833656618999 
37,158 ,3749 ,2032944550 ,41434 ,2037779298 ,3121391909 ,2493928244 ,14937919888 ,15179066089613 ,5039944863 ,398377414411 ,27521745626988 ,12039289351767 ,15650913544928 ,72627002883759 ,158 ,3749 ,2032944550 ,41434 ,2037779298 ,3121391909 ,2493928244 ,14937919888 ,15179066089613 ,5039944863 ,398377414411 ,27521745626988 ,12039289351767 ,15650913544928 ,72627002883759 
38,164 ,3899 ,2114262332 ,43091 ,2119290470 ,3246247586 ,2593685374 ,15535436683 ,15786228733198 ,5241542658 ,414312510987 ,28622615452068 ,12520860925837 ,16276950086725 ,75532082999109 ,164 ,3899 ,2114262332 ,43091 ,2119290470 ,3246247586 ,2593685374 ,15535436683 ,15786228733198 ,5241542658 ,414312510987 ,28622615452068 ,12520860925837 ,16276950086725 ,75532082999109 
39,171 ,4055 ,2198832825 ,44815 ,2204062089 ,3376097489 ,2697432789 ,16156854150 ,16417677882526 ,5451204364 ,430885011427 ,29767520070151 ,13021695362871 ,16928028090194 ,78553366319073 ,171 ,4055 ,2198832825 ,44815 ,2204062089 ,3376097489 ,2697432789 ,16156854150 ,16417677882526 ,5451204364 ,430885011427 ,29767520070151 ,13021695362871 ,16928028090194 ,78553366319073 
40,178 ,4217 ,2286786138 ,46608 ,2292224572 ,3511141389 ,2805330101 ,16803128316 ,17074384997827 ,5669252539 ,448120411884 ,30958220872957 ,13542563177386 ,17605149213802 ,81695500971836 ,178 ,4217 ,2286786138 ,46608 ,2292224572 ,3511141389 ,2805330101 ,16803128316 ,17074384997827 ,5669252539 ,448120411884 ,30958220872957 ,13542563177386 ,17605149213802 ,81695500971836 
41,185 ,4386 ,2378257583 ,48472 ,2383913555 ,3651587044 ,2917543305 ,17475253449 ,17757360397740 ,5896022640 ,466045228359 ,32196549707875 ,14084265704481 ,18309355182354 ,84963321010710 ,185 ,4386 ,2378257583 ,48472 ,2383913555 ,3651587044 ,2917543305 ,17475253449 ,17757360397740 ,5896022640 ,466045228359 ,32196549707875 ,14084265704481 ,18309355182354 ,84963321010710 
42,192 ,4561 ,2473387887 ,50411 ,2479270097 ,3797650526 ,3034245037 ,18174263587 ,18467654813649 ,6131863546 ,484687037493 ,33484411696190 ,14647636332660 ,19041729389648 ,88361853851138 ,192 ,4561 ,2473387887 ,50411 ,2479270097 ,3797650526 ,3034245037 ,18174263587 ,18467654813649 ,6131863546 ,484687037493 ,33484411696190 ,14647636332660 ,19041729389648 ,88361853851138 
43,200 ,4743 ,2572323402 ,52427 ,2578440901 ,3949556547 ,3155614838 ,18901234131 ,19206361006195 ,6377138088 ,504074518993 ,34823788164038 ,15233541785967 ,19803398565234 ,91896328005184 ,200 ,4743 ,2572323402 ,52427 ,2578440901 ,3949556547 ,3155614838 ,18901234131 ,19206361006195 ,6377138088 ,504074518993 ,34823788164038 ,15233541785967 ,19803398565234 ,91896328005184 
44,208 ,4933 ,2675216338 ,54524 ,2681578537 ,4107538809 ,3281839432 ,19657283496 ,19974615446443 ,6632223611 ,524237499753 ,36216739690599 ,15842883457405 ,20595534507843 ,95572181125391 ,208 ,4933 ,2675216338 ,54524 ,2681578537 ,4107538809 ,3281839432 ,19657283496 ,19974615446443 ,6632223611 ,524237499753 ,36216739690599 ,15842883457405 ,20595534507843 ,95572181125391 
45,216 ,5130 ,2782224992 ,56705 ,2788841679 ,4271840361 ,3413113009 ,20443574836 ,20773600064301 ,6897512556 ,545206999743 ,37665409278223 ,16476598795702 ,21419355888157 ,99395068370407 ,216 ,5130 ,2782224992 ,56705 ,2788841679 ,4271840361 ,3413113009 ,20443574836 ,20773600064301 ,6897512556 ,545206999743 ,37665409278223 ,16476598795702 ,21419355888157 ,99395068370407 
46,225 ,5336 ,2893513991 ,58973 ,2900395346 ,4442713976 ,3549637530 ,21261317829 ,21604544066873 ,7173413058 ,567015279733 ,39172025649352 ,17135662747530 ,22276130123683 ,103370871105223 ,225 ,5336 ,2893513991 ,58973 ,2900395346 ,4442713976 ,3549637530 ,21261317829 ,21604544066873 ,7173413058 ,567015279733 ,39172025649352 ,17135662747530 ,22276130123683 ,103370871105223 
47,234 ,5549 ,3009254551 ,61332 ,3016411160 ,4620422535 ,3691623031 ,22111770542 ,22468725829548 ,7460349580 ,589695890922 ,40738906675326 ,17821089257431 ,23167175328630 ,107505705949432 ,234 ,5549 ,3009254551 ,61332 ,3016411160 ,4620422535 ,3691623031 ,22111770542 ,22468725829548 ,7460349580 ,589695890922 ,40738906675326 ,17821089257431 ,23167175328630 ,107505705949432 
48,243 ,5771 ,3129624733 ,63786 ,3137067606 ,4805239436 ,3839287952 ,22996241364 ,23367474862730 ,7758763564 ,613283726559 ,42368462942339 ,18533932827728 ,24093862341776 ,111805934187409 ,243 ,5771 ,3129624733 ,63786 ,3137067606 ,4805239436 ,3839287952 ,22996241364 ,23367474862730 ,7758763564 ,613283726559 ,42368462942339 ,18533932827728 ,24093862341776 ,111805934187409 
49,253 ,6002 ,3254809722 ,66337 ,3262550310 ,4997449013 ,3992859470 ,23916091018 ,24302173857239 ,8069114106 ,637815075621 ,44063201460033 ,19275290140837 ,25057616835447 ,116278171554906 ,253 ,6002 ,3254809722 ,66337 ,3262550310 ,4997449013 ,3992859470 ,23916091018 ,24302173857239 ,8069114106 ,637815075621 ,44063201460033 ,19275290140837 ,25057616835447 ,116278171554906 
50,263 ,6242 ,3385002111 ,68991 ,3393052323 ,5197346974 ,4152573849 ,24872734659 ,25274260811529 ,8391878670 ,663327678646 ,45825729518434 ,20046301746471 ,26059921508865 ,120929298417102 ,263 ,6242 ,3385002111 ,68991 ,3393052323 ,5197346974 ,4152573849 ,24872734659 ,25274260811529 ,8391878670 ,663327678646 ,45825729518434 ,20046301746471 ,26059921508865 ,120929298417102 
51,273 ,6492 ,3520402196 ,71750 ,3528774415 ,5405240853 ,4318676803 ,25867644046 ,26285231243990 ,8727553817 ,689860785792 ,47658758699171 ,20848153816330 ,27102318369219 ,125766470353786 ,273 ,6492 ,3520402196 ,71750 ,3528774415 ,5405240853 ,4318676803 ,25867644046 ,26285231243990 ,8727553817 ,689860785792 ,47658758699171 ,20848153816330 ,27102318369219 ,125766470353786 
52,284 ,6751 ,3661218284 ,74620 ,3669925392 ,5621450487 ,4491423875 ,26902349807 ,27336640493749 ,9076655970 ,717455217224 ,49565109047138 ,21682079968983 ,28186411103988 ,130797129167937 ,284 ,6751 ,3661218284 ,74620 ,3669925392 ,5621450487 ,4491423875 ,26902349807 ,27336640493749 ,9076655970 ,717455217224 ,49565109047138 ,21682079968983 ,28186411103988 ,130797129167937 
53,296 ,7021 ,3807667015 ,77605 ,3816722408 ,5846308507 ,4671080830 ,27978443800 ,28430106113499 ,9439722209 ,746153425912 ,51547713409024 ,22549363167742 ,29313867548147 ,136029014334655 ,296 ,7021 ,3807667015 ,77605 ,3816722408 ,5846308507 ,4671080830 ,27978443800 ,28430106113499 ,9439722209 ,746153425912 ,51547713409024 ,22549363167742 ,29313867548147 ,136029014334655 
54,307 ,7302 ,3959973696 ,80709 ,3969391304 ,6080160847 ,4857924063 ,29097581552 ,29567310358039 ,9817311097 ,775999562949 ,53609621945385 ,23451337694452 ,30486422250073 ,141470174908041 ,307 ,7302 ,3959973696 ,80709 ,3969391304 ,6080160847 ,4857924063 ,29097581552 ,29567310358039 ,9817311097 ,775999562949 ,53609621945385 ,23451337694452 ,30486422250073 ,141470174908041 
55,320 ,7594 ,4118372643 ,83938 ,4128166956 ,6323367281 ,5052241026 ,30261484814 ,30750002772361 ,10210003541 ,807039545467 ,55754006823200 ,24389391202230 ,31705879140076 ,147128981904363 ,320 ,7594 ,4118372643 ,83938 ,4128166956 ,6323367281 ,5052241026 ,30261484814 ,30750002772361 ,10210003541 ,807039545467 ,55754006823200 ,24389391202230 ,31705879140076 ,147128981904363 
56,333 ,7898 ,4283107549 ,87295 ,4293293635 ,6576301972 ,5254330667 ,31471944206 ,31980002883255 ,10618403683 ,839321127286 ,57984167096128 ,25364966850319 ,32974114305679 ,153014141180537 ,333 ,7898 ,4283107549 ,87295 ,4293293635 ,6576301972 ,5254330667 ,31471944206 ,31980002883255 ,10618403683 ,839321127286 ,57984167096128 ,25364966850319 ,32974114305679 ,153014141180537 
57,346 ,8214 ,4454431851 ,90787 ,4465025380 ,6839354051 ,5464503893 ,32730821974 ,33259202998585 ,11043139830 ,872893972377 ,60303533779973 ,26379565524332 ,34293078877907 ,159134706827759 ,346 ,8214 ,4454431851 ,90787 ,4465025380 ,6839354051 ,5464503893 ,32730821974 ,33259202998585 ,11043139830 ,872893972377 ,60303533779973 ,26379565524332 ,34293078877907 ,159134706827759 
58,360 ,8543 ,4632609125 ,94418 ,4643626395 ,7112928213 ,5683084049 ,34040054853 ,34589571118529 ,11484865423 ,907809731272 ,62715675131172 ,27434748145305 ,35664802033023 ,165500095100869 ,360 ,8543 ,4632609125 ,94418 ,4643626395 ,7112928213 ,5683084049 ,34040054853 ,34589571118529 ,11484865423 ,907809731272 ,62715675131172 ,27434748145305 ,35664802033023 ,165500095100869 
59,374 ,8884 ,4817913490 ,98195 ,4829371451 ,7397445341 ,5910407411 ,35401657048 ,35973153963270 ,11944260040 ,944122120523 ,65224302136419 ,28532138071117 ,37091394114344 ,172120098904904 ,374 ,8884 ,4817913490 ,98195 ,4829371451 ,7397445341 ,5910407411 ,35401657048 ,35973153963270 ,11944260040 ,944122120523 ,65224302136419 ,28532138071117 ,37091394114344 ,172120098904904 
60,389 ,9240 ,5010630030 ,102123 ,5022546309 ,7693343155 ,6146823707 ,36817723329 ,37412080121801 ,12422030442 ,981887005344 ,67833274221876 ,29673423593962 ,38575049878917 ,179004902861100 ,389 ,9240 ,5010630030 ,102123 ,5022546309 ,7693343155 ,6146823707 ,36817723329 ,37412080121801 ,12422030442 ,981887005344 ,67833274221876 ,29673423593962 ,38575049878917 ,179004902861100 
61,405 ,9609 ,5211055231 ,106208 ,5223448161 ,8001076881 ,6392696656 ,38290432263 ,38908563326673 ,12918911659 ,1021162485558 ,70546605190751 ,30860360537720 ,40118051874074 ,186165098975544 ,405 ,9609 ,5211055231 ,106208 ,5223448161 ,8001076881 ,6392696656 ,38290432263 ,38908563326673 ,12918911659 ,1021162485558 ,70546605190751 ,30860360537720 ,40118051874074 ,186165098975544 
62,421 ,9994 ,5419497440 ,110456 ,5432386088 ,8321119956 ,6648404522 ,39822049553 ,40464905859740 ,13435668126 ,1062008984980 ,73368469398381 ,32094774959229 ,41722773949037 ,193611702934566 ,421 ,9994 ,5419497440 ,110456 ,5432386088 ,8321119956 ,6648404522 ,39822049553 ,40464905859740 ,13435668126 ,1062008984980 ,73368469398381 ,32094774959229 ,41722773949037 ,193611702934566 
63,438 ,10393 ,5636277338 ,114874 ,5649681531 ,8653964755 ,6914340703 ,41414931535 ,42083502094129 ,13973094851 ,1104489344379 ,76303208174316 ,33378565957598 ,43391684906999 ,201356171051948 ,438 ,10393 ,5636277338 ,114874 ,5649681531 ,8653964755 ,6914340703 ,41414931535 ,42083502094129 ,13973094851 ,1104489344379 ,76303208174316 ,33378565957598 ,43391684906999 ,201356171051948 
64,455 ,10809 ,5861728431 ,119469 ,5875668792 ,9000123345 ,7190914331 ,43071528797 ,43766842177895 ,14532018645 ,1148668918154 ,79355336501289 ,34713708595902 ,45127352303279 ,209410417894026 ,455 ,10809 ,5861728431 ,119469 ,5875668792 ,9000123345 ,7190914331 ,43071528797 ,43766842177895 ,14532018645 ,1148668918154 ,79355336501289 ,34713708595902 ,45127352303279 ,209410417894026 
65,473 ,11241 ,6096197569 ,124248 ,6110695544 ,9360128279 ,7478550904 ,44794389949 ,45517515865010 ,15113299390 ,1194615674881 ,82529549961340 ,36102256939738 ,46932446395410 ,217786834609787 ,473 ,11241 ,6096197569 ,124248 ,6110695544 ,9360128279 ,7478550904 ,44794389949 ,45517515865010 ,15113299390 ,1194615674881 ,82529549961340 ,36102256939738 ,46932446395410 ,217786834609787 
66,492 ,11691 ,6340045471 ,129218 ,6355123366 ,9734533410 ,7777692940 ,46586165547 ,47338216499611 ,15717831366 ,1242400301876 ,85830731959794 ,37546347217328 ,48809744251226 ,226498307994179 ,492 ,11691 ,6340045471 ,129218 ,6355123366 ,9734533410 ,7777692940 ,46586165547 ,47338216499611 ,15717831366 ,1242400301876 ,85830731959794 ,37546347217328 ,48809744251226 ,226498307994179 
